playerId,timestamp,score,dartsFired,balloonsPopped,head_movement,accuracy,leftControllerMovement,hand_movement,yaw_range,pitch_range,trigger_count,grip_count,grip_ratio,input_preference,score_per_throw,throws_per_s,controller_path,cluster_id
2f2b5eaf-497e-49bc-b2eb-0a51dfc2e3c9,2025-05-28T10:41:51.7812250Z,5495,243,182,11.421673774719238,0.748971164226532,1.8459222316741943,59.644508361816406,359.77960205078125,42.42294692993164,285,26,0.0836012861736334,trigger-heavy,22.613168724279834,1.35,59.644508361816406,0
d7fc102e-cc55-4e74-bc00-da3775ba5cbe,2025-06-01T10:44:03.2957750Z,450,49,20,3.685955762863159,0.4081632792949676,0.0196138694882392,14.224772453308104,259.00799560546875,154.14559936523438,71,7,0.0897435897435897,trigger-heavy,9.183673469387756,0.2722222222222222,14.224772453308104,3
447c0b19-a600-40c3-987f-6fa8c11a6803,2025-06-01T10:44:44.9141340Z,190,29,6,3.419048547744751,0.2068965584039688,0.0053828489035367,17.28779411315918,358.407958984375,68.62957763671875,6,35,0.8536585365853658,grip-heavy,6.551724137931035,0.1611111111111111,17.28779411315918,3
f78e3fdd-31e4-416f-8dba-72615b6650f6,2025-06-01T10:48:49.7221210Z,2400,142,82,15.524383544921877,0.577464759349823,3.099314451217652,48.392852783203125,359.89306640625,140.70274353027344,6,194,0.97,grip-heavy,16.901408450704224,0.7888888888888889,48.392852783203125,2
073ec056-6872-40c6-b88a-437b268a0e50,2025-06-01T10:49:51.8161690Z,855,35,20,5.223118305206299,0.5714285969734192,0.0910241603851318,13.797243118286133,250.343505859375,82.41004943847656,1,46,0.9787234042553192,grip-heavy,24.428571428571427,0.1944444444444444,13.797243118286133,3
114e34aa-c45e-48d7-b107-7c131accbd42,2025-06-01T10:50:18.5628890Z,235,14,5,3.4634158611297607,0.3571428656578064,0.0026560281403362,19.54925537109375,156.31961059570312,84.18318176269531,9,12,0.5714285714285714,mixed,16.785714285714285,0.0777777777777777,19.54925537109375,3
1ec5003f-2750-40ff-9d46-dde493186b5c,2025-06-01T10:53:31.7235350Z,5300,228,153,15.743366241455078,0.6710526347160339,17.142812728881836,73.35343933105469,359.62701416015625,109.98992156982422,2,292,0.9931972789115646,grip-heavy,23.24561403508772,1.2666666666666666,73.35343933105469,2
576f6eac-7bf1-478f-abdf-f24b2e67a9c1,2025-06-01T10:59:22.0740680Z,5820,220,117,12.931212425231934,0.5318182110786438,1.7335211038589478,47.5476188659668,359.9683837890625,112.23948669433594,408,6,0.0144927536231884,trigger-heavy,26.454545454545453,1.2222222222222223,47.5476188659668,0
4579adb7-7462-4541-9593-724533daa2c5,2025-06-01T11:04:37.9384780Z,3395,192,118,18.839643478393555,0.6145833134651184,0.0439464151859283,67.05854034423828,359.97076416015625,145.085205078125,271,5,0.0181159420289855,trigger-heavy,17.682291666666668,1.0666666666666669,67.05854034423828,0
8558403e-6c5e-4c23-ad0f-faa613b2b42f,2025-06-01T11:10:42.4511020Z,3020,194,85,18.90548324584961,0.438144326210022,67.50382232666016,52.53254318237305,359.9805908203125,153.97271728515625,37,251,0.8715277777777778,grip-heavy,15.56701030927835,1.0777777777777775,67.50382232666016,2
827c87e4-6066-41f5-8da7-43ae9db6cece,2025-06-01T11:16:44.3667850Z,1020,227,44,35.381370544433594,0.1938326060771942,0.8715602159500122,114.70614624023438,359.97119140625,117.62105560302734,403,26,0.0606060606060606,trigger-heavy,4.493392070484582,1.261111111111111,114.70614624023438,1
3c628add-9b4a-407b-8a9c-a9cd6b46ea02,2025-06-01T11:30:18.1971850Z,6260,214,149,9.720085144042969,0.6962617039680481,8.755901336669922,38.685001373291016,359.669189453125,115.39573669433594,230,8,0.0336134453781512,trigger-heavy,29.252336448598133,1.1888888888888889,38.685001373291016,0
715285bf-a375-4460-897b-cf193c5f8348,2025-06-01T11:35:42.9198380Z,3290,172,76,6.320998191833496,0.4418604671955108,0.3737146854400635,31.63169860839844,359.8402709960937,89.85285949707031,237,4,0.0165975103734439,trigger-heavy,19.127906976744185,0.9555555555555556,31.63169860839844,0
6cf0c1f0-a090-4dcf-86cf-95e905e62fce,2025-06-01T11:39:36.3409920Z,5960,205,107,8.631816864013672,0.5219511985778809,0.0431421622633934,68.14353942871094,359.7182312011719,76.15097045898438,1,268,0.9962825278810408,grip-heavy,29.07317073170732,1.1388888888888888,68.14353942871094,2
28dc3261-6d1a-4e6e-aca0-2162c706c846,2025-06-01T11:44:18.3254150Z,8040,206,130,11.954171180725098,0.6310679316520691,0.7511509656906128,72.38743591308594,359.6468505859375,62.70832061767578,284,21,0.0688524590163934,trigger-heavy,39.02912621359224,1.1444444444444444,72.38743591308594,0
7f16691a-38aa-44ab-a180-39c89ba70609,2025-06-01T11:48:32.4086760Z,1225,100,31,8.315166473388672,0.3100000023841858,0.3279486000537872,52.04703521728516,359.83270263671875,89.33294677734375,13,125,0.9057971014492754,grip-heavy,12.25,0.5555555555555556,52.04703521728516,1
426fea50-3d2a-4d00-b622-de6c24f9b23a,2025-06-01T11:53:53.0795910Z,3745,174,95,11.503490447998049,0.545976996421814,0.3130290806293487,47.40901947021485,359.6381225585937,94.64835357666016,190,19,0.0909090909090909,trigger-heavy,21.52298850574713,0.9666666666666668,47.40901947021485,0
848478ee-589f-4e72-85c6-fdb7e46a4f76,2025-06-01T11:58:03.2074860Z,1115,166,44,13.631065368652344,0.2650602459907532,0.3681330382823944,52.91151809692383,359.7225036621094,99.39663696289062,1,253,0.9960629921259844,grip-heavy,6.716867469879518,0.9222222222222224,52.91151809692383,1
